,Combo,Year,"adolescent fertility rate (births per 1,000 women ages 15-19)",age dependency ratio (% of working-age population),"age dependency ratio, old","age dependency ratio, young","birth rate, crude (per 1,000 people)","fertility rate, total (births per woman)","gni per capita, atlas method (current us$)","hospital beds (per 1,000 people)","immunization, bcg (% of one-year-old children)","immunization, dpt (% of children ages 12-23 months)","immunization, measles (% of children ages 12-23 months)","immunization, pol3 (% of one-year-old children)","improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)","improved water source, urban (% of urban population with access)","labor force, female (% of total labor force)","labor force, total","life expectancy at birth, total (years)",newborns protected against tetanus (%),number of people who are undernourished,"people practicing open defecation, urban (% of urban population)",population growth (annual %),"population, female (% of total)","population, male (% of total)",prevalence of anemia among children (% of children under 5),"prevalence of hiv, female (% ages 15-24)","prevalence of hiv, male (% ages 15-24)","prevalence of hiv, total (% of population ages 15-49)","prevalence of tuberculosis (per 100,000 population)","primary completion rate, female (% of relevant age group)","primary completion rate, male (% of relevant age group)","public spending on education, total (% of gdp)",rural population,rural population (% of total population),rural population growth (annual %),"school enrollment, primary, female (% gross)","school enrollment, primary, male (% net)","school enrollment, secondary, female (% gross)","school enrollment, secondary, female (% net)","school enrollment, secondary, male (% gross)","school enrollment, tertiary, female (% gross)",tuberculosis case detection rate (all forms),"unemployment, female (% of female labor force)","unemployment, male (% of male labor force)",urban population,urban population (% of total),urban population growth (annual %),women's share of population ages 15+ living with hiv (%)
0,Arab World,1975,11.410091817443702,93.0875282521924,7.15159822494794,85.4518690530781,4.257949698111739,6.56301723399087,3081.2400657151597,,86.3524983591937,80.9034040849828,80.03618427054815,80.7576456117077,57.3225556481468,87.8310478221016,92.2370797929686,21.1513991473012,88191114.0,55.4166047695777,71.51325979432895,16850000.0,2.22548948869346,2.9916266871568196,49.46791541455271,50.53208458544729,46.26043492465385,0.12093030023119099,0.10793500320084899,0.136143758739399,,42.08331,66.34953,,80983241.0,57.7979314427043,1.92054520300475,56.63975,,21.11382,18.5055,37.45811,5.30624,,21.331321375907798,10.6131652951529,59131183.0,42.2020685572957,4.49559027888473,44.0709749700366
1,Arab World,1976,11.1980005447216,92.9309238099258,7.137318399454959,85.260549344731,4.2378613684223705,6.524826931857951,3081.2400657151597,,86.3524983591937,80.9034040849828,80.03618427054815,80.7576456117077,57.3225556481468,87.8310478221016,92.2370797929686,21.1513991473012,88191114.0,56.0427629534793,71.51325979432895,16850000.0,2.22548948869346,3.1599994301800196,49.4269282421826,50.5730717578174,46.26043492465385,0.12093030023119099,0.10793500320084899,0.136143758739399,,43.725570000000005,67.8869,,82713504.0,57.224530651300704,2.13656921930303,58.482380000000006,,22.74587,19.77544,39.2487,5.821269999999999,,21.331321375907798,10.6131652951529,61828535.0,42.775469348699296,4.56164051377088,44.0709749700366
2,Arab World,1977,10.978382176266198,92.7228826798386,7.1032441906787405,85.0442155517139,4.218831359246329,6.48494324740955,3081.2400657151597,,86.3524983591937,80.9034040849828,80.03618427054815,80.7576456117077,57.3225556481468,87.8310478221016,92.2370797929686,21.1513991473012,88191114.0,56.661191891707496,71.51325979432895,16850000.0,2.22548948869346,3.2891593566076702,49.3813375624498,50.6186624375502,46.26043492465385,0.12093030023119099,0.10793500320084899,0.136143758739399,,45.49576,70.2804,,84646042.0,56.696695633226796,2.33642380813657,59.80934,,24.63095,21.36296,41.3878,6.10666,,21.331321375907798,10.6131652951529,64650215.0,43.303304366773204,4.56371803084126,44.0709749700366
3,Arab World,1978,10.6033489239906,92.4677493998008,7.05655582369045,84.80181299726259,4.19862410766814,6.43999677654118,3081.2400657151597,,86.3524983591937,80.9034040849828,80.03618427054815,80.7576456117077,57.3225556481468,87.8310478221016,92.2370797929686,21.1513991473012,88191114.0,57.2711677591494,71.51325979432895,16850000.0,2.22548948869346,3.35415642737782,49.3356625278481,50.6643374721519,46.26043492465385,0.12093030023119099,0.10793500320084899,0.136143758739399,,44.49548,70.11610999999999,,86688530.0,56.180391794880705,2.4129751985332004,60.71021999999999,,26.312170000000002,22.90648,43.62027,6.38373,,21.331321375907798,10.6131652951529,67615357.0,43.819608205119295,4.58643795693487,44.0709749700366
4,Arab World,1979,10.2341720681455,92.131382614676,7.00447726929806,84.4912894669122,4.1753999114175,6.388258183738639,3081.2400657151597,,86.3524983591937,80.9034040849828,80.03618427054815,80.7576456117077,57.3225556481468,87.8310478221016,92.2370797929686,21.1513991473012,88191114.0,57.87974039655229,71.51325979432895,16850000.0,2.22548948869346,3.33885302578283,49.2951275033194,50.7048724966806,46.26043492465385,0.12093030023119099,0.10793500320084899,0.136143758739399,,41.91669,64.62127,,88759010.0,55.663683887649,2.3884128615400297,63.60196,,27.84419,24.21981,45.26977,6.55843,,21.331321375907798,10.6131652951529,70696857.0,44.336316112351,4.557396628106231,44.0709749700366
5,Arab World,1980,9.873900232746468,91.6867756726951,6.951619881890959,84.0805529776836,4.147380574317429,6.327470767999589,3081.2400657151597,,38.212093185352,80.9034040849828,80.03618427054815,34.0628591373268,57.3225556481468,87.8310478221016,92.2370797929686,21.1513991473012,88191114.0,58.498368652859796,71.51325979432895,16850000.0,2.22548948869346,3.27040083134726,49.2626498659332,50.7373501340668,46.26043492465385,0.12093030023119099,0.10793500320084899,0.136143758739399,,45.91454,66.83010999999999,,90764732.0,55.118926392648795,2.2597390394507597,65.45215,,29.0644,25.39872,46.6381,6.857069999999999,,21.331321375907798,10.6131652951529,73905981.0,44.881073607351205,4.53927393123006,44.0709749700366
6,Arab World,1981,9.52412508672802,91.48445418185341,6.92972889174668,83.8800122615627,4.11335146941005,6.25761473783099,3081.2400657151597,,40.5672993371294,32.1551080201692,22.5125975556334,35.1849110514314,57.3225556481468,87.8310478221016,92.2370797929686,21.1513991473012,88191114.0,59.1375735307656,71.51325979432895,16850000.0,2.22548948869346,3.1917752126329906,49.2389497678356,50.7610502321644,46.26043492465385,0.12093030023119099,0.10793500320084899,0.136143758739399,,49.15832,70.49545,,92698219.0,54.55190688961571,2.13021837600975,66.36426,,30.2224,26.17253,47.45361,7.31504,,21.331321375907798,10.6131652951529,77228413.0,45.44809311038429,4.4954846076666,44.0709749700366
7,Arab World,1982,9.17911923993221,91.116723093223,6.90012700004919,83.5284884129638,4.07295759875975,6.17805891505222,3081.2400657151597,,45.3042576105196,33.8631643890119,26.3971596120954,35.9092530124866,57.3225556481468,87.8310478221016,92.2370797929686,21.1513991473012,88191114.0,59.7995323943451,71.51325979432895,16850000.0,2.22548948869346,3.1255312586905,49.2219026799008,50.7780973200992,46.26043492465385,0.12093030023119099,0.10793500320084899,0.136143758739399,,50.62579,70.66703000000001,,94590101.0,53.978156047525395,2.0409043673212297,67.64774,,31.976940000000003,27.716720000000002,49.1383,7.62602,,21.331321375907798,10.6131652951529,80647641.0,46.021843952474605,4.42742232706503,44.0709749700366
8,Arab World,1983,8.800117694876059,90.6286304801729,6.866216314716571,83.0694601069582,4.0259095321167,6.08997450367155,3081.2400657151597,,50.530231258893394,37.347671854674296,30.502472175166396,38.9366137462466,57.3225556481468,87.8310478221016,92.2370797929686,21.1513991473012,88191114.0,60.4782104511738,71.51325979432895,16850000.0,2.22548948869346,3.06359574069381,49.208020826227,50.791979173773,46.26043492465385,0.12093030023119099,0.10793500320084899,0.136143758739399,,52.217,71.53293000000001,,96395676.0,53.373366479145005,1.90884139134178,68.69774,,33.47423,29.03717,50.31751,7.82522,,21.331321375907798,10.6131652951529,84210642.0,46.626633520854995,4.41798539401792,44.0709749700366
9,Arab World,1984,8.42072557839419,90.0875507465815,6.83192151913363,82.56414613899771,3.97198419201161,5.992383407711589,3081.2400657151597,,54.6241308602735,48.0369964670296,36.9071965304233,47.7826886380444,57.3225556481468,87.8310478221016,92.2370797929686,21.1513991473012,88191114.0,61.1576384622548,71.51325979432895,16850000.0,2.22548948869346,2.98960582320271,49.192760175177796,50.807239824822204,46.26043492465385,0.12093030023119099,0.10793500320084899,0.136143758739399,,54.63754,73.85499,,98080348.0,52.729744457261,1.74766345328601,69.83715,,35.013709999999996,30.4715,51.80209,8.07283,,21.331321375907798,10.6131652951529,87925387.0,47.270255542739,4.41125362754033,44.0709749700366
10,Arab World,1985,8.03593225600132,89.52003670551079,6.80107730070842,82.03099170596509,3.9103500395593103,5.883997957640831,3081.2400657151597,,68.21360996442779,58.900221647206,54.030045775096,58.7811683931561,57.3225556481468,87.8310478221016,92.2370797929686,21.1513991473012,88191114.0,61.818945795132706,71.51325979432895,16850000.0,2.22548948869346,2.9883573213481895,49.1736833193853,50.8263166806147,46.26043492465385,0.12093030023119099,0.10793500320084899,0.136143758739399,,58.45366,78.16538,,99824907.0,52.110405156518496,1.77870392547955,70.23326,,36.75185,32.03026,53.48584,8.220469999999999,,21.331321375907798,10.6131652951529,91739344.0,47.889594843481504,4.33771988970604,44.0709749700366
11,Arab World,1986,7.644159564984191,89.323316235492,6.81169302412107,81.82183148765921,3.8409319244798104,5.76169549195974,3081.2400657151597,,73.03662866984808,65.02526375076071,59.708476428824994,66.9250010976591,57.3225556481468,87.8310478221016,92.2370797929686,21.1513991473012,88191114.0,62.440710370971004,71.51325979432895,16850000.0,2.22548948869346,2.94308096138461,49.151027356737,50.848972643263,46.26043492465385,0.12093030023119099,0.10793500320084899,0.136143758739399,,58.25114,76.61797,,101561300.0,51.5011139057506,1.73943863528969,71.41615999999999,,38.76297,33.86458,55.657830000000004,8.34324,,21.331321375907798,10.6131652951529,95640842.0,48.4988860942494,4.25280782474312,44.0709749700366
12,Arab World,1987,7.25145803648751,89.0276138319417,6.8210031195720005,81.5094917901727,3.7648672297185994,5.62821637632331,3081.2400657151597,,74.66730175045059,68.5230334257566,63.3097327029175,68.3761382728658,57.3225556481468,87.8310478221016,92.2370797929686,21.1513991473012,88191114.0,63.009285069678796,21.2746451248085,16850000.0,2.22548948869346,2.86496938760432,49.125880620397396,50.874119379602604,46.26043492465385,0.12093030023119099,0.10793500320084899,0.136143758739399,,58.629580000000004,76.06094,,103379278.0,50.962928287127895,1.79003025758828,72.83716,,40.19601,35.17451,56.87627,8.42254,,21.331321375907798,10.6131652951529,99472645.0,49.037071712872105,4.00645050782802,44.0709749700366
13,Arab World,1988,7.117066394526771,88.6576934898815,6.83311559872104,81.1154371842388,3.68375549591529,5.48520454982152,3081.2400657151597,,81.0034375954908,73.79998172880879,71.61270768431059,74.7237238670622,57.3225556481468,87.8310478221016,92.2370797929686,21.1513991473012,88191114.0,63.5170691137247,43.836369543936904,16850000.0,2.22548948869346,2.80715061301144,49.0977833759814,50.9022166240186,46.26043492465385,0.12093030023119099,0.10793500320084899,0.136143758739399,,59.50816,76.32256,,105332019.0,50.507743263780604,1.88890949693032,73.35458,,41.04698,35.97517,57.17409,8.933,,21.331321375907798,10.6131652951529,103214263.0,49.492256736219396,3.7614542168854506,44.0709749700366
14,Arab World,1989,6.98887679924858,88.1875738097017,6.84979832584028,80.61231244003909,3.59952391638664,5.335093249463821,3081.2400657151597,,85.8464758714407,80.67109917912809,77.1929128778656,80.7576456117077,57.3225556481468,87.8310478221016,92.2370797929686,21.1513991473012,88191114.0,63.9635171966052,41.597428949027204,16850000.0,2.22548948869346,2.73524895543331,49.0661088165156,50.9338911834844,46.26043492465385,0.12093030023119099,0.10793500320084899,0.136143758739399,,60.021640000000005,76.41311,,107353625.0,50.1065817031539,1.91927015089306,73.82670999999999,,41.99091,36.87593,57.76569,8.89436,,21.331321375907798,10.6131652951529,106896917.0,49.8934182968461,3.56797005855674,44.0709749700366
15,Arab World,1990,6.900441338142679,87.6978565113711,6.851515637404799,80.094496582458,3.51557903688999,5.1859025046610405,3081.2400657151597,,89.10211119133001,81.4664869739165,77.67158963604179,81.4318631632035,47.2373474602991,87.8310478221016,93.79227112036979,20.7816835385789,62449750.0,64.4487756958338,63.5571444727481,16850000.0,2.90070915451299,3.67175873935479,49.0349021218349,50.965097878165,53.6648198648523,0.10264758195978399,0.10132835962025401,0.10289888711195198,,61.64304,77.60032,,110089097.0,49.563494965257206,2.54809467309558,74.88946999999999,,45.10313,39.29339,60.32845,9.1827,,21.331321375907798,10.6131652951529,112028208.0,50.436505034742794,4.80022356491348,44.7318708547623
16,Arab World,1991,6.77559924352118,86.9504469551811,6.89974034049947,79.28441439820651,3.43200265799383,5.03282421110711,3081.2400657151597,,87.00534629052228,75.0125335169395,77.130492204453,77.6336024056153,48.3093704174061,87.1250215072806,93.79045586422659,20.0791501472752,63666841.0,64.7962243465133,57.119818199078,10700000.0,2.55837513538944,2.72546481689034,48.995801395177494,51.0041986048226,52.564731186899,0.10304593387653999,0.10171804395315699,0.10327337448412402,,62.1532,77.20534,,112234795.0,49.1888882264039,1.94905586336129,75.45352,,45.68679,39.69952,59.9203,9.18069,,21.409357752808102,10.3625334702539,115936239.0,50.8111117735961,3.4884348056339403,44.972884496762
17,Arab World,1992,6.69284506867798,86.2946593453026,6.9869197643418,78.57920738755159,3.3609122100655098,4.9025105661249295,3081.2400657151597,,85.5733382983587,75.2538274074387,75.4856778125492,77.62913379443391,49.0684938495222,86.92525795085551,93.711096256527,20.207417856356003,64715354.0,65.0698103741899,58.9878227548773,12100000.0,2.62409652243985,1.86097767344123,48.9828800616094,51.0171199383906,51.648879768260095,0.10517007316362,0.10210589652212,0.10889146070086698,,63.16261,77.7844,,114370122.0,49.2089652813544,1.90255348174333,73.76188,,45.45964,39.225570000000005,57.979519999999994,9.7702,,21.181689448471502,10.785786026345999,118047124.0,50.7910347186456,1.82072923721461,45.064470256857994
18,Arab World,1993,6.49489678572737,85.1452022265919,7.019237838765299,77.3711672769321,3.2763207064009996,4.7414670832451,3081.2400657151597,,86.3524983591937,75.65533573767141,75.6955204234782,77.48454203453541,48.44663782128121,86.22928335864019,92.57812841922069,20.070185325401603,67167319.0,65.4002521549252,62.5593732651651,12700000.0,2.8871121869662595,2.6726097597766096,48.9508880070209,51.0491119929791,50.7299513731168,0.11089117616846,0.104211686154792,0.10986845239583999,,63.66571,77.79586,,116590695.0,48.85859164928221,1.9415673964219498,74.68799,,46.49323,40.16638,58.411319999999996,10.71316,,22.4792024817972,10.8348253986852,122038157.0,51.14140835071779,3.3808811809765,45.52810648691171
